,main_speaker,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Ken Robinson,0.75,1.0,1.0,2.0,2.8333333333333335,3.75,3.5833333333333335,3.8333333333333335,3.0833333333333335,2.6666666666666665,2.1666666666666665,1.6666666666666667
1,Al Gore,35.5,61.5,28.666666666666668,19.0,19.333333333333332,10.333333333333334,9.25,8.166666666666666,7.5,6.916666666666667,8.5,8.0
2,David Pogue,33.75,61.916666666666664,44.75,43.5,33.833333333333336,32.833333333333336,26.583333333333332,22.166666666666668,16.416666666666668,11.416666666666666,5.833333333333333,5.083333333333333
3,Majora Carter,4.833333333333333,6.0,10.0,11.75,8.083333333333334,6.416666666666667,4.5,4.75,2.5833333333333335,2.0,1.5833333333333333,1.75
4,Hans Rosling,0.5,1.8333333333333333,1.5833333333333333,3.0833333333333335,3.8333333333333335,4.5,4.583333333333333,3.5833333333333335,4.166666666666667,6.583333333333333,2.8333333333333335,6.916666666666667
5,Tony Robbins,26.0,20.916666666666668,19.416666666666668,23.083333333333332,26.666666666666668,19.416666666666668,30.416666666666668,25.416666666666668,25.833333333333332,30.75,49.583333333333336,55.25
6,Julia Sweeney,51.916666666666664,45.916666666666664,33.5,31.833333333333332,30.916666666666668,27.0,26.0,25.916666666666668,25.75,20.583333333333332,11.583333333333334,10.833333333333334
7,Joshua Prince-Ramus,4.416666666666667,4.25,2.75,2.3333333333333335,2.6666666666666665,1.6666666666666667,1.1666666666666667,1.0,1.1666666666666667,1.25,0.8333333333333334,0.6666666666666666
8,Dan Dennett,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Rick Warren,11.583333333333334,8.0,16.583333333333332,13.25,7.333333333333333,7.166666666666667,7.5,18.0,7.75,7.666666666666667,7.5,6.833333333333333
10,Cameron Sinclair,7.0,5.583333333333333,5.5,17.0,7.333333333333333,5.0,4.583333333333333,3.4166666666666665,3.0,2.75,2.3333333333333335,1.5833333333333333
11,Jehane Noujaim,3.0,2.3333333333333335,2.5,1.4166666666666667,0.9166666666666666,1.25,0.6666666666666666,2.3333333333333335,2.5,0.6666666666666666,0.4166666666666667,0.3333333333333333
12,Larry Brilliant,13.5,10.0,10.916666666666666,6.25,3.9166666666666665,4.333333333333333,2.6666666666666665,2.5833333333333335,1.8333333333333333,1.75,2.3333333333333335,1.9166666666666667
13,Jeff Han,18.333333333333332,54.25,20.583333333333332,10.666666666666666,7.333333333333333,5.583333333333333,4.333333333333333,3.4166666666666665,2.75,2.5833333333333335,2.25,2.8333333333333335
14,Nicholas Negroponte,54.083333333333336,64.33333333333333,36.166666666666664,21.583333333333332,17.666666666666668,12.166666666666666,8.833333333333334,7.75,9.916666666666666,6.25,6.166666666666667,5.25
15,Sirena Huang,2.6666666666666665,4.75,4.333333333333333,3.5833333333333335,3.8333333333333335,4.416666666666667,2.8333333333333335,2.5,2.5833333333333335,2.3333333333333335,1.75,1.5833333333333333
