tags,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
children,90.5,81.91666667,74.33333333,74.66666667,71.33333333,68.5,66.58333333,64.58333333,51.91666667,52.16666667,55.08333333,52.41666667
creativity,1.25,1,1,1,1,1,1,1,1,1,1,1
culture,30.91666667,26.83333333,24.33333333,23.33333333,22.16666667,21,20.16666667,19.66666667,19.5,18.83333333,19.08333333,19
dance,89.41666667,84.41666667,88.41666667,90.41666667,89.58333333,86.5,86.91666667,81.08333333,80,81.08333333,83.91666667,78.41666667
education,89.66666667,76.83333333,68.83333333,66.16666667,62.83333333,57.25,53.66666667,50.75,50.5,49.83333333,48.66666667,48.66666667
parenting,3.166666667,2.916666667,2.75,2.333333333,2.25,2,2.25,2,2,2,2,2
teaching,85.91666667,73.83333333,67.5,62.25,56.33333333,49.33333333,47.58333333,46.58333333,45.58333333,44.08333333,44.91666667,43.91666667
alternative energy,2.333333333,2.166666667,2.666666667,2,1.333333333,1,1,1,0.833333333,0.833333333,0.666666667,0.583333333
cars,87.58333333,78.83333333,70.25,68,64.83333333,69,63,61.91666667,61.16666667,62.08333333,59.08333333,62.33333333
climate change,1.166666667,2.166666667,1.916666667,2.416666667,1.75,1.583333333,1.166666667,1.083333333,1.583333333,1.833333333,1.833333333,2
environment,87.91666667,83.91666667,76.08333333,70.75,65.41666667,62.08333333,59.41666667,58.41666667,58,55.08333333,55.83333333,55.91666667
global issues,1,1,1,1,1,1,0.916666667,0.916666667,0.916666667,0.916666667,0.916666667,0.833333333
science,83.41666667,73.83333333,66.66666667,63.91666667,60.83333333,58.16666667,55.5,53.66666667,54.91666667,55.41666667,54.75,56.5
sustainability,1.666666667,1.833333333,2,2,2,2,1.916666667,1.833333333,1.833333333,1.75,1.833333333,1.833333333
technology,88,76.08333333,65.58333333,65.83333333,60.5,55.91666667,52.33333333,49.25,48.41666667,45.66666667,43.58333333,43.66666667
computers,53.25,44.75,34.91666667,31.16666667,26.66666667,21.91666667,18.25,16,14.25,12.75,10.66666667,10
entertainment,86.58333333,74.41666667,64.16666667,61.75,56.25,49,45.41666667,41.75,43.5,36.91666667,34,34.08333333
interface design,1,1,1,1,1,1,0.916666667,0.75,0.5,0.166666667,0,0
media,42.25,40.41666667,36.08333333,35.5,32,28.33333333,25.66666667,23.66666667,22.58333333,21.83333333,19,18.91666667
music,93.75,81,70.08333333,66.08333333,62.25,56.58333333,50.91666667,46.91666667,44,43.16666667,41.25,39.75
performance,90.25,82.25,73.25,70.75,65.33333333,60.66666667,59.33333333,59.33333333,57.66666667,56.25,56.83333333,55.58333333
simplicity,4.083333333,3.916666667,3.833333333,3.666666667,3.583333333,3.083333333,3,3,2.916666667,2.916666667,2.833333333,2.833333333
software,89,77.08333333,68,64.66666667,58.33333333,50.08333333,44.41666667,37.5,33.33333333,29.25,24.25,22.75
MacArthur grant,0,0,0,0,0,0,0,0,0,0,0,0
activism,0,0,0,0,0,0,0,0,0,0,0,0
business,91.33333333,83.25,76.5,72.16666667,67.75,63,59.75,57.66666667,58.58333333,58.75,58.66666667,61.16666667
cities,15.75,13.75,12.75,12.91666667,13.08333333,12.75,12.25,13.41666667,12.66666667,13.5,12.41666667,12.75
green,81.83333333,76.08333333,78.66666667,82.33333333,85.25,89.75,87.5,86.83333333,87.5,88,90,90.91666667
inequality,4.416666667,4.166666667,4.083333333,4.166666667,4.25,4.5,4.916666667,5.583333333,6.75,7,7.333333333,7.5
politics,35.66666667,29.83333333,52.75,29.41666667,30,26.08333333,34.91666667,24.08333333,24.91666667,26.33333333,40.5,31.58333333
pollution,7.25,6.333333333,5.583333333,5.25,4.666666667,4.416666667,4.083333333,4.333333333,4.583333333,4.583333333,5.083333333,5.833333333
Africa,48.66666667,44.58333333,42,43.41666667,54.41666667,45.5,44.25,47.58333333,47.25,49.41666667,47.41666667,45.33333333
Asia,1,1.083333333,1,1,1.083333333,1.333333333,1.083333333,1,1.25,1.083333333,1.166666667,1.083333333
Google,24.5,29.08333333,32.41666667,40.33333333,46.33333333,58.25,65.58333333,90.5,95.75,91.91666667,75.41666667,67.66666667
demo,71.5,69.33333333,55.25,49.83333333,42.08333333,35.33333333,29.41666667,24.16666667,23.16666667,20.33333333,20.58333333,16
economics,19.16666667,16.58333333,15.83333333,14.91666667,14.16666667,14,13.66666667,13.25,13.33333333,13.58333333,13.58333333,13.83333333
global development,0,0,0,0,0,0,0,0,0,0,0,0
health,91.5,83.16666667,77.66666667,78.16666667,71.75,66.75,65,64.08333333,64.25,64.33333333,66,68.91666667
math,49.41666667,45.75,45.83333333,48.83333333,56,64,77.5,74,76.16666667,77.41666667,71.83333333,76.16666667
statistics,50.41666667,40.66666667,34.16666667,33.25,30.58333333,26.33333333,24.58333333,22.66666667,21.16666667,20.25,19.25,18.91666667
visualizations,82.33333333,65.5,55.08333333,52.41666667,40.33333333,26.25,21.66666667,17.58333333,16.66666667,15.08333333,14.16666667,14.83333333
goal-setting,4.75,3.5,3.083333333,2.583333333,3.083333333,2.666666667,2.416666667,2.333333333,2.416666667,2.25,2.583333333,2.75
motivation,79,73.5,71.16666667,71.08333333,69.41666667,79.66666667,67.58333333,68.08333333,70,71.08333333,68.75,66.66666667
potential,36.91666667,41.25,36.33333333,35.08333333,36.5,37.91666667,40.08333333,41.16666667,44.16666667,45.25,48.25,49.91666667
psychology,86.08333333,73.33333333,68.33333333,68.75,67.25,68.25,66.83333333,65.75,65.75,65.75,65.5,66.66666667
Christianity,21.41666667,17.08333333,15.33333333,14.83333333,14.83333333,13.41666667,13.16666667,12.58333333,12.5,13.08333333,12,12.08333333
God,64.75,68.66666667,66.5,68.5,82.16666667,80.25,83.16666667,83.83333333,82,83.08333333,81.5,79.58333333
atheism,0.833333333,1,0.833333333,1,1,0.916666667,1,1,0.583333333,0.583333333,0,0
comedy,66.41666667,63.25,62.83333333,65.5,70.33333333,71.5,71.66666667,78.91666667,91.75,87.5,85.58333333,89
humor,64.75,49.75,44.5,37.83333333,31.75,29.16666667,25.83333333,22.75,21.16666667,19.58333333,17.83333333,16.08333333
religion,85.91666667,75.25,73,70.33333333,70.33333333,67.91666667,68.25,63.5,63,65.25,62.08333333,60.75
storytelling,2.166666667,2,2,2,1.916666667,2,2,2,2.083333333,2.333333333,2.5,2.666666667
architecture,86.75,75,66.91666667,63,58.5,53.75,52,49,48.25,47.08333333,45.91666667,45.83333333
collaboration,6.75,6.166666667,5.75,5.5,5.583333333,5.333333333,5.333333333,5.333333333,5.5,5.5,5.666666667,6.416666667
